TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
SBER;60;20200422;110000;185.0500000;187.8900000;184.5000000;187.3000000;16449990
SBER;60;20200422;120000;187.2900000;188.8000000;186.9100000;188.5800000;7315940
SBER;60;20200422;130000;188.5800000;190.2000000;188.1700000;189.8900000;9501080
SBER;60;20200422;140000;189.8900000;190.0500000;188.8400000;189.1800000;4911520
SBER;60;20200422;150000;189.1900000;189.4900000;188.5200000;189.4100000;2850870
SBER;60;20200422;160000;189.4100000;190.8000000;188.7100000;190.6000000;8803920
SBER;60;20200422;170000;190.5600000;191.9400000;189.9500000;190.5000000;9152680
SBER;60;20200422;180000;190.4900000;190.9000000;189.3500000;189.7000000;9461660
SBER;60;20200422;190000;189.7100000;190.4100000;189.5100000;190.2000000;6746420
SBER;60;20200423;110000;192.0000000;192.5000000;189.3600000;189.4800000;14237910
SBER;60;20200423;120000;189.5200000;189.9900000;188.6800000;188.9900000;7743820
SBER;60;20200423;130000;189.0000000;191.3800000;188.9300000;191.1700000;7313230
SBER;60;20200423;140000;191.2100000;191.3800000;189.5700000;189.9000000;5008200
SBER;60;20200423;150000;189.9000000;190.9500000;189.5000000;190.1400000;3069210
SBER;60;20200423;160000;190.1100000;191.5500000;189.7200000;191.2100000;4423440
SBER;60;20200423;170000;191.2700000;191.8900000;190.6300000;190.9200000;5194410
SBER;60;20200423;180000;190.9200000;192.4000000;190.8300000;191.8800000;9040790
SBER;60;20200423;190000;191.9600000;192.0100000;190.9400000;190.9400000;6550590
SBER;60;20200424;110000;189.7300000;190.1300000;188.1200000;188.8900000;11570130
SBER;60;20200424;120000;188.9100000;188.9400000;187.7000000;188.1600000;5874990
SBER;60;20200424;130000;188.1800000;189.8200000;188.1000000;189.4200000;4402930
SBER;60;20200424;140000;189.4100000;190.4000000;188.9000000;190.2000000;3877980
SBER;60;20200424;150000;190.2000000;190.9000000;189.8700000;190.8000000;4681650
SBER;60;20200424;160000;190.8100000;191.6500000;190.1600000;191.0900000;4975790
SBER;60;20200424;170000;191.0600000;191.3800000;188.7000000;188.8500000;6105560
SBER;60;20200424;180000;188.8000000;189.4400000;188.0200000;188.0400000;7491300
SBER;60;20200424;190000;188.0200000;189.3700000;188.0100000;188.9100000;6271920
SBER;60;20200427;110000;189.9500000;190.5000000;189.0000000;189.5500000;8034000
SBER;60;20200427;120000;189.5600000;190.4200000;188.8300000;190.1300000;6353140
SBER;60;20200427;130000;190.1100000;190.2000000;189.6100000;190.0000000;6350530
SBER;60;20200427;140000;190.0000000;190.1500000;189.2800000;189.6700000;2975730
SBER;60;20200427;150000;189.6800000;189.8500000;188.8500000;189.1600000;3629210
SBER;60;20200427;160000;189.1600000;189.2600000;188.4300000;188.8800000;3907530
SBER;60;20200427;170000;188.8700000;189.2000000;188.5700000;188.8700000;3367680
SBER;60;20200427;180000;188.8800000;189.6900000;188.6500000;189.1400000;4371910
SBER;60;20200427;190000;189.1700000;189.4800000;188.7700000;188.9000000;4637420
SBER;60;20200428;110000;188.5500000;189.6900000;188.1700000;189.4100000;8116350
SBER;60;20200428;120000;189.4200000;189.6000000;188.7100000;189.1000000;3139970
SBER;60;20200428;130000;189.0900000;191.8200000;188.9200000;191.3500000;11651920
SBER;60;20200428;140000;191.3500000;192.1500000;190.3100000;190.7400000;11899310
SBER;60;20200428;150000;190.7600000;191.4300000;190.5000000;191.3200000;3542340
SBER;60;20200428;160000;191.3200000;192.9800000;191.2200000;192.4400000;8419570
SBER;60;20200428;170000;192.4400000;194.2200000;192.3200000;192.7900000;11068730
SBER;60;20200428;180000;192.7900000;194.0600000;191.5600000;191.9600000;12759800
SBER;60;20200428;190000;191.9100000;193.2600000;191.8000000;192.8000000;7957760
SBER;60;20200429;110000;194.3600000;194.8900000;193.4100000;194.7100000;14733210
SBER;60;20200429;120000;194.7100000;194.7800000;193.8500000;194.6900000;6210800
SBER;60;20200429;130000;194.6800000;195.0000000;194.4500000;194.4600000;5572430
SBER;60;20200429;140000;194.4500000;194.4500000;193.7100000;194.1200000;4081130
SBER;60;20200429;150000;194.1200000;194.4900000;192.8600000;193.4700000;5916820
SBER;60;20200429;160000;193.4700000;194.8600000;193.3400000;194.6800000;7557310
SBER;60;20200429;170000;194.6600000;194.8000000;193.9000000;194.5900000;5948460
SBER;60;20200429;180000;194.5900000;195.7000000;194.0100000;195.6000000;12231420
